,creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name
0,"Mar 20, 2022",True,False,False,False,https://www.queerty.com/revisit-movie-got-lil-nas-x-pregnant-guessing-20210904,"Chalamet rocketed from obscurity onto the Hollywood A-List thanks to Call Me By Your Name, and with good reason: he didnt just give a great performance in the film, he gave the best performance of 2017. ",102670589,4/4,POSITIVE,David Reddish,http://resizing.flixster.com/1qVNhpgIMymS0I3Ja9yCplTrKpg=/128x128/v1.YzsxMDAwMDAyNjU1O2o7MTkxNzk7MjA0ODszMDA7MzAw,david-reddish,100009601,Queerty
1,"Mar 16, 2022",True,False,False,False,https://deepfocusreview.com/reviews/call-me-by-your-name/,"Call Me by Your Name taps into universal emotions that belong to everyone who has loved, and rewards our experience through luscious filmmaking.",102668684,4/4,POSITIVE,Brian Eggert,http://resizing.flixster.com/-UjDJuYz_103OKpZ71orINT1QXk=/128x128/v1.Yzs0MDQzO3A7MTkxNzA7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review
2,"Mar 4, 2022",True,False,False,False,https://www.butteredpopcornmovies.com/call-me-by-your-name-movie-review.html,Call Me By Your Name is a film that captures a human truth in a way like no others.,102664330,A+,POSITIVE,Carson Timar,http://resizing.flixster.com/kDnd3O3V_Y0XUtQK2MqFf8poYoM=/128x128/v1.Yzs0MDMzO2o7MTkxNzA7MjA0ODszMDA7MzAw,carson-timar,100009578,ButteredPopcorn
3,"Sep 2, 2021",True,False,False,False,https://www.thepinklens.com/post/2017/10/28/call-me-by-your-name,"While it's the simmering sexual tension that keeps you watching for most of the film, it's only later that you realise this is a character piece about a man's bluster and how his confidence does not make him strong.",2819223,5/5,POSITIVE,Ben Turner,http://resizing.flixster.com/MLGI5J6_rUAE2OYBNu6WFLaaGZU=/128x128/v1.YzszOTk5O2o7MTkxNzA7MjA0ODsxNDQwOzE0NDA,ben-turner,4051,The Pink Lens
4,"Jul 20, 2021",True,False,False,False,https://www.kmuw.org/movie-review/2018-02-08/movie-review-call-me-by-your-name,The most humane and kind movie in a year that featured so many others filled with anxiety and darkness.,2807259,,POSITIVE,Fletcher Powell,http://resizing.flixster.com/s7Q_copTETKeppD_q574bnNZ7gU=/128x128/v1.YzszODY2O2o7MTkxNzA7MjA0ODszMDA7MzAw,fletcher-powell,3885,KMUW - Wichita Public Radio
5,"Jul 6, 2021",True,False,False,False,http://www.mynewplaidpants.com/2017/10/good-morning-call-me-by-your-name.html,"Chalamet's performance is magnificent - this is the sort of performance that stretches across a lifetime. This is ""Hey look we have our own James Dean now"" level good stuff here",2803692,A,POSITIVE,Jason Adams,http://resizing.flixster.com/C1b6miHh0hry9YRKzeFIkZVRMa4=/128x128/v1.YzszNTg3O3A7MTkxNzA7MjA0ODs2Mzk7NjM5,jason-adams,4003,My New Plaid Pants
6,"Jun 25, 2021",True,False,False,False,https://www.harpersbazaar.com/uk/awards-season/a14453600/10-of-the-buzziest-movies-to-know-this-awards-season/,"The blossoming romance between these two men, that unfurls over six sun-dappled weeks in northern Italy, is utterly ravishing.",2800981,5/5,POSITIVE,Yasmin Omar,http://resizing.flixster.com/IwnsZrL0S_mnaRnmccSMMOYiO5w=/128x128/v1.YzszOTQxO2o7MTkxNzA7MjA0ODszMDA7MzAw,yasmin-omar,2910,Harper's Bazaar
7,"Apr 13, 2021",True,False,False,False,https://battleshippretension.com/ians-top-ten-2017/,"What the film does with that, thanks to the performance by 2017 all-star Michael Stuhlbarg, is surprising and life-affirming.",2783683,,POSITIVE,Ian Brill,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,ian-brill,3090,Battleship Pretension
8,"Dec 11, 2020",True,False,False,False,http://battleshippretension.com/afi-fest-2017-call-name-david-bax/,Chalamet is quickly becoming one of the most reliable young actors around...,2750264,,POSITIVE,David Bax,http://resizing.flixster.com/Yqk7jQ9I2jr5xnfqXwxhf7WG86E=/128x128/v1.YzszMDQzO2o7MTkxNzA7MjA0ODsyNDI2OzI2NDA,david-bax,3090,Battleship Pretension
9,"Dec 5, 2020",True,False,False,False,http://gonewiththetwins.com/new/call-me-by-your-name-2017/,The actors are superbly convincing.,2748697,6/10,POSITIVE,Mike Massie,http://resizing.flixster.com/aM-Zsf_SZ07guKCiaHui33QVy2M=/128x128/v1.YzszNjc3O2o7MTkxNzA7MjA0ODszMDA7MzAw,mike-massie,3719,Gone With The Twins
