,creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name
0,"Mar 3, 2022",True,False,False,False,https://deepfocusreview.com/reviews/avengers-endgame/,Who could have anticipated that Marvel Studios and Disney would release a three-hour extravaganza whose exquisite character-focused scenes outshine the FX-driven action?,102663721,3.5/4,POSITIVE,Brian Eggert,http://resizing.flixster.com/-UjDJuYz_103OKpZ71orINT1QXk=/128x128/v1.Yzs0MDQzO3A7MTkxNzA7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review
1,"Feb 22, 2022",True,False,False,True,https://youtu.be/oQCEIF0x68o,"Eleven years of Universe building, and this is the crescendo. It really pays off, I've never seen anything quite like it. ",102660233,,POSITIVE,James Luxford,http://resizing.flixster.com/9DGu61bDvUblBpl92TMNi1asZ1Y=/128x128/v1.YzsxMDAwMDAyNTg1O2o7MTkxNzk7MjA0ODs0MDA7NDAw,james-luxford,52,BBC.com
2,"Feb 18, 2022",True,False,False,False,https://www.reeltalkinc.com/reel-review-avengers-endgame/,"Avengers: Endgame broke me, put me back together, and decided to cut me again in one of the most impactful cinematic experiences of all time. ",102659038,4/4,POSITIVE,David Gonzalez,http://resizing.flixster.com/TZSzi_F9UD5VXbTsLJjLFuf3gmo=/128x128/v1.Yzs0MDQ0O2o7MTkxNzA7MjA0ODsxMzUzOzEzNTM,david-gonzalez-29660,100009585,Reel Talk Inc.
3,"Sep 30, 2021",True,False,False,False,https://www.kctv5.com/better/film-critic-looks-at-avengers-endgame/video_34ecb99a-cf2a-5707-ab29-0ccc976aff1b.html,"For me, it didn't fulfill the promise of Infinity War, but it did fulfill the promise of the previous twenty movies.",2827744,,POSITIVE,Lonita Cook,http://resizing.flixster.com/0rnwM-nlVWsehslgF4RDocUfefE=/128x128/v1.YzszOTM1O2o7MTkxNzA7MjA0ODsxNTIyOzE1MjI,lonita-cook,3562,KCTV5 News at 9
4,"Sep 4, 2021",True,False,False,False,https://www.youtube.com/watch?v=zcEu45x9obo,"I'm just grateful to have the privilege to watch this along with the rest of the world. It's not perfect, but it has been one hell of a ride.",2820137,8/10,POSITIVE,Nicholas Oon,http://resizing.flixster.com/LqMIMkaMkZZKapS_jf-zA208XS0=/128x128/v1.YzszOTkxO3A7MTkxNzA7MjA0ODsxMDAwOzEwMDA,nicholas-oon,4038,Maximum Hype (YouTube)
5,"Aug 13, 2021",True,False,False,False,https://media.pauline.org/reviews/ArticleID/896/Avengers-Endgame-The-Value-of-Sacrifice,"Here's the other really neat thing about Endgame: it made me think of priorities in life and what or who is worth sacrificing for, especially loved ones...",2813393,,POSITIVE,Hosea Rupprecht,http://resizing.flixster.com/3QQVUdJ20RkKYqo1Os8EMI3jMPY=/128x128/v1.YzszODIxO2o7MTkxNzA7MjA0ODszMDA7MzAw,hosea-rupprecht,3845,Pauline Center for Media Studies
6,"Jul 28, 2021",True,False,False,False,https://arstechnica.com/gaming/2019/12/superhero-films-soared-this-decade-but-the-2010s-offered-much-more/,The true superteam event releases marked something slightly different and spectacular...End Game over the original Guardians by a hair...,2809349,,POSITIVE,Nathan Mattise,http://resizing.flixster.com/IoLC5Y5icjRffWrkf_EjyUHN698=/128x128/v1.YzszNjc5O2o7MTkxNzA7MjA0ODszMDA7MzAw,nathan-mattise,2985,Ars Technica
7,"Jul 23, 2021",True,False,False,False,https://www.robinholabird.com/post/avengers-endgame,This goes beyond the usual scale.,2808209,,POSITIVE,Robin Holabird,http://resizing.flixster.com/1B6BIw6SVzIpDh0LDZoIJIFcXYE=/128x128/v1.YzszOTc4O2o7MTkxNzA7MjA0ODszMDA7MzAw,robin-holabird,4029,"KUNR (Reno, NV)"
8,"Jul 13, 2021",True,False,False,False,https://www.digitaltrends.com/movies/marvel-avengers-endgame-review/,A film that somehow manages to be as epic as fans hope and as dramatic as the MCU deserves.,2805147,,POSITIVE,Rick Marshall,http://resizing.flixster.com/9qbO6sL37jpQR75PxRfSvkCdbuc=/128x128/v1.YzszOTQzO2o7MTkxNzA7MjA0ODszMDA7MzAw,rick-marshall,2472,Digital Trends
9,"May 11, 2021",True,False,False,False,https://www.nme.com/news/the-best-films-of-2019-so-far-2510511,"Films don't come any huger than this: the closing chapter to an 11-year saga in the Marvel Cinematic Universe, told across some 22 movies. And by the end of its three-hour runtime, there will definitely be tears.",2789579,,POSITIVE,Nick Levine,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,nick-levine,3240,NME
10,"Apr 29, 2021",True,False,False,False,https://www.nme.com/reviews/avengers-endgame-review-2479864,There really is very little that could be improved about Endgame. There's certainly no more that could be thrown at it.,2786717,5/5,POSITIVE,Olly Richards,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,olly-richards,3240,NME
11,"Apr 14, 2021",True,False,False,False,https://battleshippretension.com/luizs-top-ten-of-2019/,"So much of the art form is about storytelling, and bringing so many side stories and characters to a satisfying conclusion is tough, and the film blended a (rather) unpredictable plot with emotional character beats deftly...",2783709,,POSITIVE,Luiz Oliveira,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,luiz-oliveira,3090,Battleship Pretension
12,"Feb 18, 2021",True,False,False,False,https://dallas.culturemap.com/news/entertainment/04-25-19-avengers-endgame-movie-review/#slide=0,"Avengers: Endgame is everything Marvel fans could want and more. It will be interesting to see how the MCU moves into the future after the events in the film, but woe be upon anyone who doubts their ability to adapt and succeed mightily.",2769299,,POSITIVE,Alex Bentley,http://resizing.flixster.com/eeSFc0GemmRyG5QO158ZIsOsSjo=/128x128/v1.YzszODU5O2o7MTkxNzA7MjA0ODszMDA7MzAw,alex-bentley,3686,CultureMap
13,"Feb 8, 2021",True,False,False,False,https://www.kmuw.org/post/movie-review-avengers-endgame,I found Avengers: Endgame wonderfully satisfying.,2765706,,POSITIVE,Fletcher Powell,http://resizing.flixster.com/s7Q_copTETKeppD_q574bnNZ7gU=/128x128/v1.YzszODY2O2o7MTkxNzA7MjA0ODszMDA7MzAw,fletcher-powell,3885,KMUW - Wichita Public Radio
14,"Feb 5, 2021",True,False,False,False,https://kickseat.com/podcast/2019/4/26/ep404-film-not-found.html?rq=avengers%20endgame,There are [Marvel] movies that have been just as entertaining and a lot smarter than this one.,2765123,3/5,POSITIVE,Ian Simmons,http://resizing.flixster.com/aCvFulw1QPJCLyEtGSiyg0q-MsE=/128x128/v1.YzszODY4O2o7MTkxNzA7MjA0ODszMDA7MzAw,ian-simmons,3892,Kicking the Seat
15,"Jan 31, 2021",True,False,False,False,http://www.richardcrouse.ca/avengers-endgame-3-stars-keeps-the-focus-on-the-characters-2/,"Feels like the end of the old cycle, the beginning of a reset. Old favourites gone, passing the mantle to others before they go. We even see a poster that reads, ""Where do we go, now that they're all gone?""",2761934,3.5/5,POSITIVE,Richard Crouse,http://resizing.flixster.com/ddVZYQU5SXSaFdLKV-04T1-GLzc=/128x128/v1.YzszODgxO2o7MTkxNzA7MjA0ODszMDA7MzAw,richard-crouse,3900,Richard Crouse
16,"Jan 29, 2021",True,False,False,False,https://www.strangeharbors.com/blog/2019/4/26/film-review-avengers-endgame,"The MCU is the ultimate long game, and Endgame feels like its glorious final lap.",2760797,A-,POSITIVE,Jeffrey Zhang,http://resizing.flixster.com/Q5gmC0-JpXuz1IuXhv05OWAVB5k=/128x128/v1.YzszODkxO2o7MTkxNzA7MjA0ODszMDA7MzAw,jeffrey-zhang,3907,Strange Harbors
17,"Jan 28, 2021",True,False,False,False,https://www.comicbookmovie.com/avengers/avengers_endgame/avengers-endgame-review-marvels-superhero-epic-will-exceed-all-of-your-expectations-a167944#gs.rf6s54,"Terms like masterpiece and game-changer are often thrown around a bit hastily, but not on this occasion.",2760075,5/5,POSITIVE,Mark Cassidy,http://resizing.flixster.com/rQvIElqhMJ2eNfm8kq6aceZAoIg=/128x128/v1.YzszODc2O2o7MTkxNzA7MjA0ODszMDA7MzAw,mark-cassidy,1778,ComicBookMovie.com
