,creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name,scoreOri
0,"May 3, 2022",True,False,False,False,https://intheirownleague.com/2022/04/29/toy-story-4-review-animated-april/,"Toy Story 4 is a wonderful film, but as a sequel its a masterful display of how to move forward with franchise storytelling.",102686503,POSITIVE,Bianca Garner,http://resizing.flixster.com/Of315Tla7cycf00cKIRzeufZG6Y=/128x128/v1.YzszODkzO2o7MTkxNzA7MjA0ODs2NDA7NjQw,bianca-garner,3647,In Their Own League,
1,"Mar 2, 2022",True,False,False,False,https://deepfocusreview.com/reviews/toy-story-4/,Toy Story 4's willingness to go to strange and dark places is part of its charm.,102663290,POSITIVE,Brian Eggert,http://resizing.flixster.com/-UjDJuYz_103OKpZ71orINT1QXk=/128x128/v1.Yzs0MDQzO3A7MTkxNzA7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review,4/4
2,"Feb 18, 2022",True,False,False,False,https://www.reeltalkinc.com/toy-story-4/,"I found myself sobbing at the films conclusion because while Toy Story 3 felt like the conclusion to everyones story, Toy Story 4 showed us it was only Andys story that was complete. The toys story concluded with this film. ",102659033,POSITIVE,David Gonzalez,http://resizing.flixster.com/TZSzi_F9UD5VXbTsLJjLFuf3gmo=/128x128/v1.Yzs0MDQ0O2o7MTkxNzA7MjA0ODsxMzUzOzEzNTM,david-gonzalez-29660,100009585,Reel Talk Inc.,4/4
3,"Feb 13, 2022",True,False,False,False,https://crumonshowbiz.com/?p=1915,The second Toy Story was a sensation that led to Toy Story 3 and now 4. And what sensation exists in Toy Story 4!,102656567,POSITIVE,Steve Crum,http://resizing.flixster.com/xrqKU4fO9esDU-K4QnlYm_IzhgI=/128x128/v1.Yzs0MDI1O2o7MTkxNzA7MjA0ODszMDA7MzAw,steve-crum,100009552,Crum on Showbiz,A
4,"Sep 29, 2021",True,False,False,False,https://www.kctv5.com/better/movie-critic-looks-at-toy-story-4-and-murder-mystery/video_cf67d5f7-4c58-5e45-8ba5-9f4b626654b4.html,These characters actually experience and that tiny shift really refreshes the franchise.,2827482,POSITIVE,Lonita Cook,http://resizing.flixster.com/0rnwM-nlVWsehslgF4RDocUfefE=/128x128/v1.YzszOTM1O2o7MTkxNzA7MjA0ODsxNTIyOzE1MjI,lonita-cook,3562,KCTV5 News at 9,
5,"Aug 12, 2021",True,False,False,False,https://media.pauline.org/reviews/ArticleID/906/Toy-Story-4-Follow-Your-Inner-Voice,Kudos to Pixar for making yet another film that satisfies on so many levels.,2813381,POSITIVE,Hosea Rupprecht,http://resizing.flixster.com/3QQVUdJ20RkKYqo1Os8EMI3jMPY=/128x128/v1.YzszODIxO2o7MTkxNzA7MjA0ODszMDA7MzAw,hosea-rupprecht,3845,Pauline Center for Media Studies,
6,"Jun 22, 2021",True,False,False,False,https://www.nme.com/reviews/toy-story-4-review-a-perfect-ending-to-a-perfect-franchise-2511258,A sublime ending to a perfect franchise.,2800030,POSITIVE,Nick Reilly,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,nick-reilly,3240,NME,5/5
7,"Mar 13, 2021",True,False,False,False,https://vodzilla.co/reviews/vod-film-review-toy-story-4/,"Pixar's franchise heads into new territory with this funny, poignant, charming road trip about passing on the baton.",2776181,POSITIVE,Katherine McLaughlin,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,katherine-mclaughlin,2773,VODzilla.co,7.3/10
8,"Feb 18, 2021",True,False,False,False,https://dallas.culturemap.com/news/entertainment/06-20-19-toy-story-4-movie-review/#slide=0,"It may not have truly needed to be made, but Toy Story 4 is just as good as any of the other films in the series and proves once again that Pixar is the undisputed master in the animation field.",2769222,POSITIVE,Alex Bentley,http://resizing.flixster.com/eeSFc0GemmRyG5QO158ZIsOsSjo=/128x128/v1.YzszODU5O2o7MTkxNzA7MjA0ODszMDA7MzAw,alex-bentley,3686,CultureMap,
9,"Feb 8, 2021",True,False,False,False,https://www.kmuw.org/post/movie-review-toy-story-4-0,"While I have to acknowledge that it isn't a particularly necessary movie, I also must say I'm so very glad they made it.",2765695,POSITIVE,Fletcher Powell,http://resizing.flixster.com/s7Q_copTETKeppD_q574bnNZ7gU=/128x128/v1.YzszODY2O2o7MTkxNzA7MjA0ODszMDA7MzAw,fletcher-powell,3885,KMUW - Wichita Public Radio,
